"STATION","NAME","DATE","PRCP"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-01","0.25"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-04","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-06","0.15"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-07","0.10"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-08","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-09","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-11","0.09"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-12","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-13","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-14","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-15","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-17","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-18","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-20","0.09"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-21",
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-24","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-25","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-26","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-27","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-28","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-29","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-30","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-31","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-01","0.45"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-03","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-06","0.04"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-07","0.13"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-09","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-11","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-12","0.14"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-13","0.31"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-16","0.34"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-17","0.41"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-21","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-22","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-28","0.05"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-01","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-03","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-04","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-05","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-06","1.19"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-07","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-09","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-11","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-15","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-16","0.03"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-17","0.24"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-18","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-20","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-21","0.54"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-22","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-23","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-24","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-25","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-26","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-27","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-28","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-29","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-30","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-03-31","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-01","0.82"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-03","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-04","0.24"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-05","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-06","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-09","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-12","0.42"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-13","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-14","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-15","0.03"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-20","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-21","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-22","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-26","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-27","0.21"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-04-30","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-04","1.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-05","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-06","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-07","0.06"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-09","0.46"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-11",
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-12","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-13","0.16"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-14","0.91"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-15","0.46"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-16","0.03"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-20","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-21","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-05-22","0.47"
